 INFO  Accepting connections at http://localhost:3000
 HTTP  29/6/2026 9:09:28 pm ::1 Returned 304 in 6 ms
 HTTP  29/6/2026 9:09:28 pm ::1 Returned 304 in 18 ms
 HTTP  29/6/2026 9:09:28 pm ::1 GET /mango_pickle_ad.jpg
 HTTP  29/6/2026 9:09:28 pm ::1 GET /fitness_club_ad.jpg
 HTTP  29/6/2026 9:09:28 pm ::1 GET /jinus_academy_malayalam_ad.jpg
 HTTP  29/6/2026 9:09:28 pm ::1 Returned 304 in 9 ms
 HTTP  29/6/2026 9:09:28 pm ::1 Returned 304 in 15 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /niks_salon_ad.jpg
 HTTP  29/6/2026 9:09:28 pm ::1 Returned 304 in 14 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_legend_amber.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_legend_green.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 5 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 11 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 14 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_combo_offer.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_premium_combo.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 0 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 2 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_packaging.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 5 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_caramel_pop.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_ultra_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_legend_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_malayalam_spray.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_kalabham_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 3 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 4 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 3 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 4 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 10 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_ultra_blue.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 8 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_ultra_red.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 7 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_seduction.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /talent_perfume_men_collection.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /jinus_learning_book_performance.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /brainster_studio_ad.png
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 2 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 5 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 6 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /god_of_detailing_mud_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 7 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 5 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /god_of_detailing_wash_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /pro_glaze_car_ad.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /pro_glaze_logo.png
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 11 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 6 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /right_properties_dream_home.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /right_properties_mediterranean.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /right_properties_luxe_homes.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 12 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 12 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 10 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /right_properties_logo.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 15 ms
 HTTP  29/6/2026 9:09:29 pm ::1 GET /right_properties_family.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 GET /la_florale_fusion.jpg
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 13 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 5 ms
 HTTP  29/6/2026 9:09:29 pm ::1 Returned 304 in 3 ms
